"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","291"
"Cow Dung","1397"
"Electricity","0"
"Kerosene","102"
"LP Gas","855"
"Not stated","43"
"Others","10"
"Wood/Firewood","8552"
"Total","11250"
