"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","2682"
"Christianity","2211"
"Hindu","32993"
"Islam","309"
"Jainism","0"
"Kirat","4"
"Prakriti","2"
"Sikhism","0"
"Undefined","42"
"Total","38244"
