"Population by Five Years Age Group","Number"
"0-4",""
"Female","1558"
"Male","1635"
"10-14",""
"Female","1593"
"Male","1687"
"15-19",""
"Female","984"
"Male","1179"
"20-24",""
"Female","900"
"Male","835"
"25-29",""
"Female","953"
"Male","843"
"30-34",""
"Female","881"
"Male","855"
"35-39",""
"Female","761"
"Male","809"
"40-44",""
"Female","564"
"Male","710"
"45-49",""
"Female","480"
"Male","483"
"50-54",""
"Female","376"
"Male","419"
"55-59",""
"Female","356"
"Male","414"
"5-9",""
"Female","1857"
"Male","1881"
"60-64",""
"Female","326"
"Male","338"
"65-69",""
"Female","250"
"Male","303"
"70-74",""
"Female","145"
"Male","161"
"75+",""
"Female","132"
"Male","120"
