"Number of households by type of outer wall","Number"
"BambooWall","3134"
"Cement Bonded Bricks/Stone Wall","565"
"Mud Bonded Bricks/Stone Wall","63"
"Not stated","63"
"Others","73"
"Unbaked Bricks","16"
"Wood/Planks","50"
"Total","3964"
