"Number of households by type of outer wall","Number"
"BambooWall","240"
"Cement Bonded Bricks/Stone Wall","22523"
"Mud Bonded Bricks/Stone Wall","2801"
"Not stated","859"
"Others","125"
"Unbaked Bricks","346"
"Wood/Planks","212"
"Total","27106"
