"Population by Five Years Age Group","Number"
"0-4",""
"Female","3897"
"Male","4451"
"10-14",""
"Female","6065"
"Male","6419"
"15-19",""
"Female","6770"
"Male","7142"
"20-24",""
"Female","7228"
"Male","6708"
"25-29",""
"Female","6595"
"Male","5836"
"30-34",""
"Female","4990"
"Male","5139"
"35-39",""
"Female","4247"
"Male","4237"
"40-44",""
"Female","2831"
"Male","3188"
"45-49",""
"Female","2001"
"Male","2224"
"50-54",""
"Female","1502"
"Male","1694"
"55-59",""
"Female","985"
"Male","1085"
"5-9",""
"Female","4946"
"Male","5205"
"60-64",""
"Female","914"
"Male","809"
"65-69",""
"Female","625"
"Male","591"
"70-74",""
"Female","498"
"Male","407"
"75+",""
"Female","692"
"Male","531"
