"Population by Five Years Age Group","Number"
"0-4",""
"Female","2670"
"Male","2833"
"10-14",""
"Female","3237"
"Male","3351"
"15-19",""
"Female","2867"
"Male","2751"
"20-24",""
"Female","2560"
"Male","1738"
"25-29",""
"Female","2629"
"Male","1785"
"30-34",""
"Female","2167"
"Male","1700"
"35-39",""
"Female","1930"
"Male","1606"
"40-44",""
"Female","1605"
"Male","1436"
"45-49",""
"Female","1392"
"Male","1266"
"50-54",""
"Female","1233"
"Male","1133"
"55-59",""
"Female","1129"
"Male","1064"
"5-9",""
"Female","3073"
"Male","3121"
"60-64",""
"Female","930"
"Male","864"
"65-69",""
"Female","641"
"Male","704"
"70-74",""
"Female","439"
"Male","518"
"75+",""
"Female","543"
"Male","503"
