"Population by Mother tongue","Number"
"Bajjika",""
"Female","9558"
"Male","9957"
"Bhojpuri",""
"Female","3284"
"Male","3433"
"Doteli",""
"Female","10"
"Male","14"
"Hindi",""
"Female","4"
"Male","7"
"Kham",""
"Female","46"
"Male","42"
"Magar",""
"Female","71"
"Male","76"
"Maithili",""
"Female","370"
"Male","354"
"Nepali",""
"Female","1429"
"Male","1508"
"Newar",""
"Female","91"
"Male","96"
"Not Reported",""
"Female","13"
"Male","12"
"Others",""
"Female","18"
"Male","7"
"Sunuwar",""
"Female","20"
"Male","31"
"Tamang",""
"Female","60"
"Male","74"
"Thami",""
"Female","6"
"Male","6"
"Tharu",""
"Female","1242"
"Male","1254"
"Urdu",""
"Female","1631"
"Male","1584"
