"Population by Caste Ethinicity","Number"
"Badi",""
"Female","6"
"Male","7"
"","13"
"Brahman - Hill",""
"Female","929"
"Male","780"
"","1709"
"Chhetri",""
"Female","2017"
"Male","1620"
"","3637"
"Dalit Others",""
"Female","32"
"Male","37"
"","69"
"Damai/Dholi",""
"Female","190"
"Male","185"
"","375"
"Gharti/Bhujel",""
"Female","68"
"Male","58"
"","126"
"Hyolmo",""
"Female","11"
"Male","6"
"","17"
"Kami",""
"Female","238"
"Male","212"
"","450"
"Magar",""
"Female","898"
"Male","761"
"","1659"
"Majhi",""
"Female","182"
"Male","176"
"","358"
"Newar",""
"Female","1633"
"Male","1497"
"","3130"
"Others",""
"Female","18"
"Male","23"
"","41"
"Pahari",""
"Female","24"
"Male","15"
"","39"
"Sarki",""
"Female","86"
"Male","101"
"","187"
"Tamang",""
"Female","3448"
"Male","2870"
"","6318"
