"Industries Types","Number"
"Accommodation and food","826"
"Administrative and support service activity","9"
"Agriculture, forestry and fishing","454"
"Art, entertainment and recreation","8"
"Construction","3"
"Education","477"
"Electricty gas and water","5"
"Financial intermediation and insurance","179"
"Health and social work","193"
"Information and communications","14"
"Manufacturing","777"
"Mining and quarrying","2"
"Other service activities","472"
"Professional,scientific and techniqual activity","62"
"Real state, renting and business activities","0"
"Transport and storage","37"
"Water supply, wet management","5"
"Wholesale and retail trade","3096"
"Total","6619"
