"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","48"
"Male","47"
"Brahman - Hill",""
"Female","549"
"Male","510"
"Chhetri",""
"Female","12653"
"Male","11728"
"Dalit Others",""
"Female","23"
"Male","19"
"Damai/Dholi",""
"Female","459"
"Male","489"
"Kami",""
"Female","1883"
"Male","1881"
"Magar",""
"Female","929"
"Male","876"
"Others",""
"Female","12"
"Male","5"
"Sanyasi/Dasnami",""
"Female","256"
"Male","226"
"Sarki",""
"Female","160"
"Male","167"
"Terai Others",""
"Female","9"
"Male","12"
"Thakuri",""
"Female","611"
"Male","566"
