"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","364"
"Male","332"
"Chhetri",""
"Female","1564"
"Male","1495"
"Damai/Dholi",""
"Female","105"
"Male","86"
"Gurung",""
"Female","191"
"Male","223"
"Kami",""
"Female","310"
"Male","258"
"Limbu",""
"Female","1954"
"Male","1718"
"Magar",""
"Female","53"
"Male","60"
"Newar",""
"Female","135"
"Male","107"
"Others",""
"Female","12"
"Male","13"
"Rai",""
"Female","1141"
"Male","1010"
"Sanyasi/Dasnami",""
"Female","7"
"Male","5"
"Sarki",""
"Female","57"
"Male","68"
"Sherpa",""
"Female","6"
"Male","5"
"Sunuwar",""
"Female","9"
"Male","6"
"Tamang",""
"Female","277"
"Male","270"
"Undefined Others",""
"Female","11"
"Male","7"
"Yakkha",""
"Female","126"
"Male","114"
