"Population by Five Years Age Group","Number"
"0-4",""
"Female","619"
"Male","619"
"10-14",""
"Female","828"
"Male","822"
"15-19",""
"Female","775"
"Male","755"
"20-24",""
"Female","546"
"Male","419"
"25-29",""
"Female","397"
"Male","363"
"30-34",""
"Female","350"
"Male","260"
"35-39",""
"Female","309"
"Male","287"
"40-44",""
"Female","356"
"Male","291"
"45-49",""
"Female","273"
"Male","269"
"50-54",""
"Female","228"
"Male","294"
"55-59",""
"Female","159"
"Male","192"
"5-9",""
"Female","811"
"Male","755"
"60-64",""
"Female","180"
"Male","171"
"65-69",""
"Female","105"
"Male","141"
"70-74",""
"Female","94"
"Male","88"
"75+",""
"Female","107"
"Male","154"
