"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","30"
"Male","35"
"Brahman - Hill",""
"Female","2595"
"Male","2568"
"Chhetri",""
"Female","3525"
"Male","3329"
"Damai/Dholi",""
"Female","393"
"Male","414"
"Gurung",""
"Female","226"
"Male","254"
"Kami",""
"Female","1623"
"Male","1562"
"Kumal",""
"Female","34"
"Male","41"
"Magar",""
"Female","526"
"Male","533"
"Musalman",""
"Female","143"
"Male","148"
"Others",""
"Female","11"
"Male","10"
"Sanyasi/Dasnami",""
"Female","270"
"Male","257"
"Sarki",""
"Female","530"
"Male","474"
"Thakuri",""
"Female","887"
"Male","815"
