"Number of households by type of outer wall","Number"
"BambooWall","732"
"Cement Bonded Bricks/Stone Wall","2319"
"Mud Bonded Bricks/Stone Wall","5864"
"Not Stated about Wall","54"
"Other Type Wall","119"
"Unbaked Bricks","51"
"Wood/Planks","321"
"Total","9460"
