"Population by Five Years Age Group","Number"
"0-4",""
"Female","1915"
"Male","1946"
"10-14",""
"Female","2209"
"Male","2428"
"15-19",""
"Female","1440"
"Male","1758"
"20-24",""
"Female","1346"
"Male","1269"
"25-29",""
"Female","1468"
"Male","1217"
"30-34",""
"Female","1406"
"Male","1025"
"35-39",""
"Female","1172"
"Male","1045"
"40-44",""
"Female","966"
"Male","886"
"45-49",""
"Female","843"
"Male","788"
"50-54",""
"Female","636"
"Male","715"
"55-59",""
"Female","600"
"Male","601"
"5-9",""
"Female","2342"
"Male","2588"
"60-64",""
"Female","565"
"Male","607"
"65-69",""
"Female","367"
"Male","449"
"70-74",""
"Female","243"
"Male","287"
"75+",""
"Female","215"
"Male","241"
