"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","3"
"Christianity","0"
"Hindu","23580"
"Islam","5796"
"Jainism","0"
"Kirat","7"
"Prakriti","1"
"Sikhism","0"
"Undefined","150"
"Total","29537"
