"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","33544"
"Mud Roof","49782"
"Not Sated Roof","2905"
"Other Type of Roof","1455"
"RCC Roof","13301"
"Thatch/Straw Roof","95364"
"Tile/Slate Roof","98582"
"Wood/Planks Roof","3241"
"Total","298174"
