"Agricultural land use area","Hectare"
"Area under arable land","118511.00"
"Area under meadows and pasture","4730.00"
"Area under permanent crops","9169.00"
"Area under Temporary crops","113690.00"
"Area under temporary fallow","3696.00"
"Area under temporary meadows","1124.00"
"Other land","6593.00"
"Ponds","16.00"
"Woodland and forest","2676.00"
"Total","260205.00"
