"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1856"
"Male","1558"
"Chhetri",""
"Female","2412"
"Male","2172"
"Damai/Dholi",""
"Female","300"
"Male","287"
"Gharti/Bhujel",""
"Female","239"
"Male","211"
"Gurung",""
"Female","58"
"Male","56"
"Hajam/Thakur",""
"Female","5"
"Male","7"
"Kami",""
"Female","294"
"Male","279"
"Limbu",""
"Female","6"
"Male","6"
"Magar",""
"Female","55"
"Male","46"
"Majhi",""
"Female","49"
"Male","53"
"Newar",""
"Female","1286"
"Male","1173"
"Others",""
"Female","34"
"Male","34"
"Rai",""
"Female","6"
"Male","5"
"Sanyasi/Dasnami",""
"Female","52"
"Male","36"
"Sarki",""
"Female","106"
"Male","106"
"Sherpa",""
"Female","9"
"Male","8"
"Tamang",""
"Female","3110"
"Male","2927"
"Thakuri",""
"Female","16"
"Male","17"
"Thami",""
"Female","5"
"Male","12"
"Tharu",""
"Female","9"
"Male","9"
