"Population by Five Years Age Group","Number"
"0-4",""
"Female","1310"
"Male","1387"
"10-14",""
"Female","1436"
"Male","1475"
"15-19",""
"Female","1033"
"Male","1109"
"20-24",""
"Female","931"
"Male","861"
"25-29",""
"Female","970"
"Male","943"
"30-34",""
"Female","888"
"Male","796"
"35-39",""
"Female","717"
"Male","801"
"40-44",""
"Female","663"
"Male","637"
"45-49",""
"Female","541"
"Male","641"
"50-54",""
"Female","432"
"Male","439"
"55-59",""
"Female","354"
"Male","409"
"5-9",""
"Female","1775"
"Male","1713"
"60-64",""
"Female","266"
"Male","338"
"65-69",""
"Female","259"
"Male","222"
"70-74",""
"Female","130"
"Male","207"
"75+",""
"Female","116"
"Male","118"
