"Number of households by type of outer wall","Number"
"BambooWall","3291"
"Cement Bonded Bricks/Stone Wall","427"
"Mud Bonded Bricks/Stone Wall","18"
"Not stated","30"
"Others","156"
"Unbaked Bricks","6"
"Wood/Planks","74"
"Total","4002"
