"Population by Five Years Age Group","Number"
"0-4",""
"Female","1759"
"Male","1823"
"10-14",""
"Female","1859"
"Male","1852"
"15-19",""
"Female","1430"
"Male","1199"
"20-24",""
"Female","1024"
"Male","862"
"25-29",""
"Female","899"
"Male","777"
"30-34",""
"Female","710"
"Male","552"
"35-39",""
"Female","684"
"Male","555"
"40-44",""
"Female","557"
"Male","460"
"45-49",""
"Female","476"
"Male","415"
"50-54",""
"Female","358"
"Male","348"
"55-59",""
"Female","279"
"Male","304"
"5-9",""
"Female","1914"
"Male","1930"
"60-64",""
"Female","377"
"Male","265"
"65-69",""
"Female","272"
"Male","245"
"70-74",""
"Female","184"
"Male","140"
"75+",""
"Female","143"
"Male","130"
