"Population by Five Years Age Group","Number"
"0-4",""
"Female","144779"
"Male","151826"
"10-14",""
"Female","181024"
"Male","184979"
"15-19",""
"Female","150842"
"Male","135073"
"20-24",""
"Female","126789"
"Male","93915"
"25-29",""
"Female","105097"
"Male","83701"
"30-34",""
"Female","85703"
"Male","66869"
"35-39",""
"Female","76854"
"Male","63856"
"40-44",""
"Female","62980"
"Male","53505"
"45-49",""
"Female","51092"
"Male","46899"
"50-54",""
"Female","41084"
"Male","39101"
"55-59",""
"Female","34244"
"Male","33312"
"5-9",""
"Female","169667"
"Male","176560"
"60-64",""
"Female","39198"
"Male","31320"
"65-69",""
"Female","26832"
"Male","23619"
"70-74",""
"Female","19653"
"Male","16863"
"75+",""
"Female","18792"
"Male","16489"
