"Population by Rural/Urban","Number"
"Metropolitan City Population",""
"Female","0"
"Male","0"
"Total","0"
"Municipality Population",""
"Female","715466"
"Male","657960"
"Total","1373426"
"Number of Metropolitan City","0"
"Number of Municipality","33"
"Number of Rural Municipality","54"
"Number of Sub-Metropolitan City","1"
"Rural Municipality Population",""
"Female","544606"
"Male","484667"
"Total","1029273"
"Sub-Metropolitan City Population",""
"Female","74558"
"Male","75260"
"Total","149818"
