"Population by Age of First Marriage","Number"
"10-14 Years",""
"Female","121732"
"Male","23734"
"15-19 Years",""
"Female","426905"
"Male","225947"
"20-24 Years",""
"Female","114757"
"Male","197344"
"25-29 Years",""
"Female","12905"
"Male","54834"
"30-34 Years",""
"Female","2366"
"Male","10800"
"35-39 Years",""
"Female","687"
"Male","2741"
"40-44 Years",""
"Female","272"
"Male","873"
"45-49 Years",""
"Female","76"
"Male","266"
"50 Years Above",""
"Female","67"
"Male","155"
"Below 10 Year",""
"Female","11516"
"Male","1177"
