"Agricultural land use area","Hectare"
"Area under arable land","188984.83"
"Area under meadows and pasture","2492.06"
"Area under permanent crops","13040.92"
"Area under Temporary crops","185652.88"
"Area under temporary fallow","2665.17"
"Area under temporary meadows","666.81"
"Other land","10666.05"
"Ponds","84.19"
"Woodland and forest","2161.67"
