"Number of households by type of outer wall","Number"
"BambooWall","2773"
"Cement Bonded Bricks/Stone Wall","1236"
"Mud Bonded Bricks/Stone Wall","2483"
"Not stated","57"
"Others","252"
"Unbaked Bricks","172"
"Wood/Planks","120"
"Total","7093"
