"Population by Religion","Number"
"Bahai","5"
"Bon","0"
"Buddism","837"
"Christianity","1240"
"Hindu","44469"
"Islam","1340"
"Jainism","0"
"Kirat","6"
"Prakriti","9"
"Sikhism","0"
"Undefined","42"
"Total","47948"
