"Population by Five Years Age Group","Number"
"0-4",""
"Female","2761"
"Male","2626"
"10-14",""
"Female","3328"
"Male","3323"
"15-19",""
"Female","2184"
"Male","2152"
"20-24",""
"Female","1762"
"Male","1237"
"25-29",""
"Female","1978"
"Male","1227"
"30-34",""
"Female","1836"
"Male","1136"
"35-39",""
"Female","1702"
"Male","1266"
"40-44",""
"Female","1286"
"Male","1029"
"45-49",""
"Female","1134"
"Male","1030"
"50-54",""
"Female","920"
"Male","998"
"55-59",""
"Female","782"
"Male","806"
"5-9",""
"Female","3362"
"Male","3436"
"60-64",""
"Female","735"
"Male","749"
"65-69",""
"Female","465"
"Male","478"
"70-74",""
"Female","287"
"Male","312"
"75+",""
"Female","246"
"Male","259"
