"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","2624"
"Mud Roof","3"
"Not Sated Roof","29"
"Other Type of Roof","2"
"RCC Roof","7"
"Thatch/Straw Roof","366"
"Tile/Slate Roof","559"
"Wood/Planks Roof","11"
"Total","3601"
