"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2236"
"Male","1944"
"","4180"
"Chhetri",""
"Female","697"
"Male","615"
"","1312"
"Damai/Dholi",""
"Female","91"
"Male","62"
"","153"
"Gharti/Bhujel",""
"Female","33"
"Male","31"
"","64"
"Kami",""
"Female","219"
"Male","165"
"","384"
"Magar",""
"Female","297"
"Male","252"
"","549"
"Newar",""
"Female","613"
"Male","564"
"","1177"
"Others",""
"Female","24"
"Male","13"
"","37"
"Sanyasi/Dasnami",""
"Female","11"
"Male","12"
"","23"
"Tamang",""
"Female","4869"
"Male","4009"
"","8878"
"Thakuri",""
"Female","8"
"Male","12"
"","20"
