"Population by Caste Ethinicity","Number"
"Badi",""
"Female","409"
"Male","287"
"","696"
"Brahman - Hill",""
"Female","225"
"Male","195"
"","420"
"Brahman - Tarai",""
"Female","28"
"Male","22"
"","50"
"Chamar/ Harijan/ Ram",""
"Female","8"
"Male","7"
"","15"
"Chhetri",""
"Female","8894"
"Male","6675"
"","15569"
"Dalit Others",""
"Female","865"
"Male","684"
"","1549"
"Damai/Dholi",""
"Female","568"
"Male","445"
"","1013"
"Kami",""
"Female","1414"
"Male","1090"
"","2504"
"Lohar",""
"Female","195"
"Male","142"
"","337"
"Magar",""
"Female","15"
"Male","24"
"","39"
"Newar",""
"Female","73"
"Male","63"
"","136"
"Others",""
"Female","35"
"Male","33"
"","68"
"Sanyasi/Dasnami",""
"Female","43"
"Male","27"
"","70"
"Terai Others",""
"Female","7"
"Male","10"
"","17"
