"Population by Caste Ethinicity","Number"
"Badi",""
"Female","18"
"Male","20"
"","38"
"Brahman - Hill",""
"Female","4243"
"Male","3249"
"","7492"
"Chamar/ Harijan/ Ram",""
"Female","11"
"Male","9"
"","20"
"Chhetri",""
"Female","1052"
"Male","898"
"","1950"
"Dalit Others",""
"Female","17"
"Male","16"
"","33"
"Damai/Dholi",""
"Female","280"
"Male","245"
"","525"
"Gharti/Bhujel",""
"Female","98"
"Male","89"
"","187"
"Kami",""
"Female","416"
"Male","368"
"","784"
"Magar",""
"Female","83"
"Male","74"
"","157"
"Majhi",""
"Female","262"
"Male","235"
"","497"
"Newar",""
"Female","829"
"Male","742"
"","1571"
"Others",""
"Female","17"
"Male","28"
"","45"
"Pahari",""
"Female","174"
"Male","142"
"","316"
"Sanyasi/Dasnami",""
"Female","382"
"Male","303"
"","685"
"Sarki",""
"Female","107"
"Male","119"
"","226"
"Tamang",""
"Female","3351"
"Male","2907"
"","6258"
"Thakuri",""
"Female","21"
"Male","24"
"","45"
