"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","13"
"Cow Dung","1"
"Electricity Fuel","0"
"KeroseneFuel","14"
"LP Gas","28"
"Not Sated about Fuel","22"
"OthersFuel","2"
"Wood/FireWood","4584"
"Total","4664"
