"Industries Employment","Number"
"Accommodation,  food",""
"Female","1692"
"Male","1353"
"Administrative, support service",""
"Female","3"
"Male","14"
"Agriculture, forestry and  fishing",""
"Female","566"
"Male","988"
"Arts, entertainment, recreation",""
"Female","18"
"Male","39"
"Construction",""
"Female","3"
"Male","53"
"Education",""
"Female","814"
"Male","1188"
"Electricity, gas and water",""
"Female","12"
"Male","69"
"Financial intermediation and insurance",""
"Female","1013"
"Male","976"
"Health, social work",""
"Female","1275"
"Male","420"
"Information and communication",""
"Female","17"
"Male","39"
"Manufacturing",""
"Female","236"
"Male","382"
"Other service activities",""
"Female","2598"
"Male","2795"
"Professional, scientific, techniqual activity",""
"Female","5"
"Male","7"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","27"
"Male","88"
"Water supply, wet management",""
"Female","0"
"Male","0"
"Wholesale, retail trade",""
"Female","1149"
"Male","1295"
