"Industries Types","Number"
"Accommodation and food","1212"
"Administrative and support service activity","8"
"Agriculture, forestry and fishing","83"
"Art, entertainment and recreation","19"
"Construction","4"
"Education","244"
"Electricty gas and water","14"
"Financial intermediation and insurance","64"
"Health and social work","122"
"Information and communications","4"
"Manufacturing","233"
"Mining and quarrying","0"
"Other service activities","246"
"Professional,scientific and techniqual activity","6"
"Real state, renting and business activities","0"
"Transport and storage","26"
"Water supply, wet management","0"
"Wholesale and retail trade","1223"
"Total","3508"
