"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1217"
"Male","970"
"","2187"
"Chhetri",""
"Female","6492"
"Male","4871"
"","11363"
"Damai/Dholi",""
"Female","597"
"Male","504"
"","1101"
"Hajam/Thakur",""
"Female","17"
"Male","12"
"","29"
"Kami",""
"Female","1924"
"Male","1424"
"","3348"
"Lohar",""
"Female","664"
"Male","489"
"","1153"
"Magar",""
"Female","9"
"Male","28"
"","37"
"Newar",""
"Female","24"
"Male","29"
"","53"
"Others",""
"Female","31"
"Male","16"
"","47"
"Sanyasi/Dasnami",""
"Female","6"
"Male","6"
"","12"
"Sarki",""
"Female","253"
"Male","178"
"","431"
"Thakuri",""
"Female","116"
"Male","80"
"","196"
