"Number of households by type of outer wall","Number"
"BambooWall","2409"
"Cement Bonded Bricks/Stone Wall","430"
"Mud Bonded Bricks/Stone Wall","782"
"Not stated","30"
"Others","34"
"Unbaked Bricks","8"
"Wood/Planks","3298"
"Total","6991"
