"Population by Five Years Age Group","Number"
"0-4",""
"Female","1318"
"Male","1369"
"10-14",""
"Female","2040"
"Male","2027"
"15-19",""
"Female","1855"
"Male","1685"
"20-24",""
"Female","1581"
"Male","1082"
"25-29",""
"Female","1505"
"Male","917"
"30-34",""
"Female","1153"
"Male","727"
"35-39",""
"Female","1004"
"Male","653"
"40-44",""
"Female","984"
"Male","680"
"45-49",""
"Female","823"
"Male","618"
"50-54",""
"Female","701"
"Male","636"
"55-59",""
"Female","551"
"Male","576"
"5-9",""
"Female","1724"
"Male","1754"
"60-64",""
"Female","492"
"Male","444"
"65-69",""
"Female","399"
"Male","344"
"70-74",""
"Female","245"
"Male","312"
"75+",""
"Female","337"
"Male","382"
