"Agricultural land use area","Hectare"
"Area under arable land","19058.17"
"Area under meadows and pasture","468.06"
"Area under permanent crops","3159.36"
"Area under Temporary crops","18254.16"
"Area under temporary fallow","689.11"
"Area under temporary meadows","114.90"
"Other land","1013.93"
"Ponds","6.72"
"Woodland and forest","1782.49"
