"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","6"
"Male","5"
"Aathpariya",""
"Female","3208"
"Male","2628"
"Badi",""
"Female","53"
"Male","35"
"Bangali",""
"Female","25"
"Male","28"
"Bantaba",""
"Female","130"
"Male","86"
"Bhote",""
"Female","22"
"Male","21"
"Bote",""
"Female","5"
"Male","8"
"Brahman - Hill",""
"Female","4411"
"Male","4221"
"Brahman - Tarai",""
"Female","19"
"Male","28"
"Chamar/ Harijan/ Ram",""
"Female","10"
"Male","9"
"Chamling",""
"Female","16"
"Male","15"
"Chhetri",""
"Female","17583"
"Male","15028"
"Dalit Others",""
"Female","14"
"Male","8"
"Damai/Dholi",""
"Female","1842"
"Male","1499"
"Dhunia",""
"Female","6"
"Male","7"
"Dom",""
"Female","9"
"Male","10"
"Foreigner",""
"Female","6"
"Male","5"
"Gharti/Bhujel",""
"Female","1032"
"Male","869"
"Gurung",""
"Female","1196"
"Male","1034"
"Hajam/Thakur",""
"Female","14"
"Male","12"
"Halwai",""
"Female","22"
"Male","39"
"Kalwar",""
"Female","9"
"Male","11"
"Kami",""
"Female","3332"
"Male","2852"
"Kathabaniyan",""
"Female","21"
"Male","18"
"Kayastha",""
"Female","14"
"Male","12"
"Kewat",""
"Female","9"
"Male","6"
"Kulung",""
"Female","5"
"Male","12"
"Limbu",""
"Female","11609"
"Male","9612"
"Magar",""
"Female","8680"
"Male","7022"
"Majhi",""
"Female","487"
"Male","431"
"Marwadi",""
"Female","18"
"Male","7"
"Musalman",""
"Female","41"
"Male","82"
"Newar",""
"Female","4030"
"Male","3493"
"Others",""
"Female","289"
"Male","387"
"Pattharkatta/ Kushwadiya",""
"Female","7"
"Male","8"
"Rai",""
"Female","16911"
"Male","15054"
"Rajbansi",""
"Female","5"
"Male","10"
"Sanyasi/Dasnami",""
"Female","543"
"Male","473"
"Sarki",""
"Female","1181"
"Male","1074"
"Sherpa",""
"Female","412"
"Male","348"
"Sunuwar",""
"Female","30"
"Male","27"
"Tamang",""
"Female","5712"
"Male","4714"
"Teli",""
"Female","59"
"Male","98"
"Terai Others",""
"Female","29"
"Male","49"
"Thakuri",""
"Female","309"
"Male","268"
"Tharu",""
"Female","74"
"Male","114"
"Undefined Others",""
"Female","71"
"Male","63"
"Yadav",""
"Female","29"
"Male","70"
"Yakkha",""
"Female","2697"
"Male","2269"
"Yamphu",""
"Female","509"
"Male","468"
