"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","668"
"Cow Dung","124"
"Electricity","8"
"Kerosene","56"
"LP Gas","2865"
"Not stated","62"
"Others","119"
"Wood/Firewood","9513"
"Total","13415"
