"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","3170"
"Male","3084"
"Darai",""
"Female","7"
"Male","7"
"Ghale",""
"Female","7"
"Male","9"
"Gurung",""
"Female","826"
"Male","691"
"Hindi",""
"Female","16"
"Male","29"
"Kumal",""
"Female","7"
"Male","5"
"Magar",""
"Female","2691"
"Male","2246"
"Maithili",""
"Female","385"
"Male","416"
"Nepali",""
"Female","20534"
"Male","16708"
"Newar",""
"Female","288"
"Male","257"
"Not Reported",""
"Female","43"
"Male","45"
"Others",""
"Female","40"
"Male","36"
"Sunuwar",""
"Female","15"
"Male","16"
"Tamang",""
"Female","295"
"Male","240"
"Tharu",""
"Female","4942"
"Male","4283"
"Urdu",""
"Female","69"
"Male","65"
