"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","15"
"Male","30"
"","45"
"Bote",""
"Female","62"
"Male","56"
"","118"
"Gurung",""
"Female","16"
"Male","19"
"","35"
"Hindi",""
"Female","7"
"Male","4"
"","11"
"Magar",""
"Female","3990"
"Male","2951"
"","6941"
"Nepali",""
"Female","15075"
"Male","11701"
"","26776"
"Newar",""
"Female","542"
"Male","441"
"","983"
"Not Reported",""
"Female","7"
"Male","5"
"","12"
"Others",""
"Female","10"
"Male","15"
"","25"
"Sign Language",""
"Female","5"
"Male","8"
"","13"
"Tharu",""
"Female","25"
"Male","55"
"","80"
"Urdu",""
"Female","204"
"Male","153"
"","357"
