"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","39"
"Male","68"
"","107"
"Bote",""
"Female","121"
"Male","119"
"","240"
"Chepang",""
"Female","2639"
"Male","2592"
"","5231"
"Darai",""
"Female","51"
"Male","45"
"","96"
"Ghale",""
"Female","16"
"Male","9"
"","25"
"Gurung",""
"Female","176"
"Male","139"
"","315"
"Hindi",""
"Female","10"
"Male","11"
"","21"
"Magar",""
"Female","301"
"Male","265"
"","566"
"Maithili",""
"Female","186"
"Male","162"
"","348"
"Nepali",""
"Female","13473"
"Male","12076"
"","25549"
"Newar",""
"Female","147"
"Male","144"
"","291"
"Not Reported",""
"Female","18"
"Male","20"
"","38"
"Others",""
"Female","30"
"Male","26"
"","56"
"Rai",""
"Female","13"
"Male","8"
"","21"
"Tamang",""
"Female","2322"
"Male","2106"
"","4428"
"Tharu",""
"Female","2733"
"Male","2428"
"","5161"
