"Population by Five Years Age Group","Number"
"0-4",""
"Female","1769"
"Male","1759"
"10-14",""
"Female","1723"
"Male","1995"
"15-19",""
"Female","1075"
"Male","1443"
"20-24",""
"Female","1103"
"Male","1104"
"25-29",""
"Female","1028"
"Male","1073"
"30-34",""
"Female","1028"
"Male","967"
"35-39",""
"Female","884"
"Male","974"
"40-44",""
"Female","683"
"Male","797"
"45-49",""
"Female","485"
"Male","620"
"50-54",""
"Female","387"
"Male","433"
"55-59",""
"Female","398"
"Male","408"
"5-9",""
"Female","2117"
"Male","2163"
"60-64",""
"Female","384"
"Male","359"
"65-69",""
"Female","304"
"Male","361"
"70-74",""
"Female","255"
"Male","274"
"75+",""
"Female","182"
"Male","192"
