"Population by Five Years Age Group","Number"
"0-4",""
"Female","47"
"Male","42"
"10-14",""
"Female","54"
"Male","54"
"15-19",""
"Female","65"
"Male","55"
"20-24",""
"Female","59"
"Male","89"
"25-29",""
"Female","59"
"Male","209"
"30-34",""
"Female","43"
"Male","105"
"35-39",""
"Female","38"
"Male","82"
"40-44",""
"Female","28"
"Male","77"
"45-49",""
"Female","34"
"Male","64"
"50-54",""
"Female","22"
"Male","50"
"55-59",""
"Female","15"
"Male","29"
"5-9",""
"Female","40"
"Male","42"
"60-64",""
"Female","16"
"Male","14"
"65-69",""
"Female","11"
"Male","8"
"70-74",""
"Female","4"
"Male","7"
"75+",""
"Female","5"
"Male","9"
