"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","114"
"Male","235"
"","349"
"Bote",""
"Female","137"
"Male","153"
"","290"
"Darai",""
"Female","54"
"Male","42"
"","96"
"Gurung",""
"Female","316"
"Male","252"
"","568"
"Hindi",""
"Female","17"
"Male","13"
"","30"
"Magar",""
"Female","4895"
"Male","4021"
"","8916"
"Maithili",""
"Female","67"
"Male","82"
"","149"
"Majhi",""
"Female","117"
"Male","122"
"","239"
"Nepali",""
"Female","14962"
"Male","12554"
"","27516"
"Newar",""
"Female","406"
"Male","388"
"","794"
"Not Reported",""
"Female","20"
"Male","17"
"","37"
"Others",""
"Female","29"
"Male","25"
"","54"
"Tamang",""
"Female","450"
"Male","411"
"","861"
"Tharu",""
"Female","1389"
"Male","1264"
"","2653"
"Urdu",""
"Female","27"
"Male","24"
"","51"
