"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","921"
"Cow Dung","9"
"Electricity Fuel","11"
"KeroseneFuel","34"
"LP Gas","2258"
"Not Sated about Fuel","55"
"OthersFuel","12"
"Wood/FireWood","5956"
"Total","9256"
