"Population by Caste Ethinicity","Number"
"Badi",""
"Female","89"
"Male","71"
"","160"
"Bin",""
"Female","0"
"Male","12"
"","12"
"Bote",""
"Female","291"
"Male","283"
"","574"
"Brahman - Hill",""
"Female","7743"
"Male","6353"
"","14096"
"Brahman - Tarai",""
"Female","9"
"Male","10"
"","19"
"Chepang /Praja",""
"Female","7"
"Male","5"
"","12"
"Chhetri",""
"Female","2251"
"Male","1903"
"","4154"
"Dalit Others",""
"Female","71"
"Male","69"
"","140"
"Damai/Dholi",""
"Female","454"
"Male","401"
"","855"
"Darai",""
"Female","78"
"Male","65"
"","143"
"Gaine",""
"Female","13"
"Male","12"
"","25"
"Gharti/Bhujel",""
"Female","110"
"Male","94"
"","204"
"Gurung",""
"Female","477"
"Male","376"
"","853"
"Hajam/Thakur",""
"Female","4"
"Male","22"
"","26"
"Halwai",""
"Female","13"
"Male","10"
"","23"
"Kami",""
"Female","1394"
"Male","1203"
"","2597"
"Kathabaniyan",""
"Female","12"
"Male","9"
"","21"
"Koiri/Kushwaha",""
"Female","18"
"Male","20"
"","38"
"Kumal",""
"Female","168"
"Male","149"
"","317"
"Kumhar",""
"Female","35"
"Male","34"
"","69"
"Kurmi",""
"Female","7"
"Male","7"
"","14"
"Limbu",""
"Female","9"
"Male","5"
"","14"
"Magar",""
"Female","5777"
"Male","4823"
"","10600"
"Majhi",""
"Female","134"
"Male","143"
"","277"
"Mallaha",""
"Female","7"
"Male","8"
"","15"
"Musahar",""
"Female","9"
"Male","22"
"","31"
"Musalman",""
"Female","127"
"Male","126"
"","253"
"Newar",""
"Female","735"
"Male","653"
"","1388"
"Others",""
"Female","25"
"Male","46"
"","71"
"Rai",""
"Female","28"
"Male","30"
"","58"
"Sanyasi/Dasnami",""
"Female","128"
"Male","120"
"","248"
"Sarki",""
"Female","108"
"Male","98"
"","206"
"Sonar",""
"Female","7"
"Male","12"
"","19"
"Sunuwar",""
"Female","24"
"Male","26"
"","50"
"Tamang",""
"Female","606"
"Male","550"
"","1156"
"Teli",""
"Female","26"
"Male","52"
"","78"
"Terai Others",""
"Female","6"
"Male","9"
"","15"
"Thakuri",""
"Female","296"
"Male","241"
"","537"
"Tharu",""
"Female","1680"
"Male","1512"
"","3192"
"Undefined Others",""
"Female","7"
"Male","5"
"","12"
"Yadav",""
"Female","17"
"Male","14"
"","31"
