"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","79"
"Male","63"
"","142"
"Badi",""
"Female","10"
"Male","12"
"","22"
"Bangali",""
"Female","62"
"Male","59"
"","121"
"Baraee",""
"Female","201"
"Male","185"
"","386"
"Brahman - Hill",""
"Female","28"
"Male","16"
"","44"
"Brahman - Tarai",""
"Female","11"
"Male","12"
"","23"
"Chamar/ Harijan/ Ram",""
"Female","1001"
"Male","843"
"","1844"
"Chhetri",""
"Female","49"
"Male","48"
"","97"
"Danuwar",""
"Female","410"
"Male","304"
"","714"
"Dhankar/ Dharikar",""
"Female","18"
"Male","14"
"","32"
"Dhanuk",""
"Female","336"
"Male","292"
"","628"
"Dhobi",""
"Female","145"
"Male","134"
"","279"
"Dom",""
"Female","19"
"Male","20"
"","39"
"Dusadh/ Pasawan/ Pasi",""
"Female","116"
"Male","94"
"","210"
"Gaderi/Bhedihar",""
"Female","197"
"Male","205"
"","402"
"Hajam/Thakur",""
"Female","190"
"Male","171"
"","361"
"Halwai",""
"Female","157"
"Male","132"
"","289"
"Jhangad/ Dhagar",""
"Female","200"
"Male","203"
"","403"
"Kalwar",""
"Female","20"
"Male","18"
"","38"
"Kami",""
"Female","18"
"Male","9"
"","27"
"Kayastha",""
"Female","25"
"Male","16"
"","41"
"Kewat",""
"Female","511"
"Male","457"
"","968"
"Khatwe",""
"Female","318"
"Male","281"
"","599"
"Koiri/Kushwaha",""
"Female","1574"
"Male","1498"
"","3072"
"Kurmi",""
"Female","64"
"Male","53"
"","117"
"Lohar",""
"Female","8"
"Male","6"
"","14"
"Magar",""
"Female","30"
"Male","29"
"","59"
"Mali",""
"Female","14"
"Male","11"
"","25"
"Mallaha",""
"Female","268"
"Male","206"
"","474"
"Meche",""
"Female","9"
"Male","8"
"","17"
"Musahar",""
"Female","655"
"Male","651"
"","1306"
"Musalman",""
"Female","1444"
"Male","1279"
"","2723"
"Others",""
"Female","33"
"Male","14"
"","47"
"Punjabi/Sikh",""
"Female","13"
"Male","8"
"","21"
"Rai",""
"Female","16"
"Male","7"
"","23"
"Sudhi",""
"Female","145"
"Male","147"
"","292"
"Tatma/Tatwa",""
"Female","334"
"Male","311"
"","645"
"Teli",""
"Female","371"
"Male","305"
"","676"
"Terai Others",""
"Female","61"
"Male","48"
"","109"
"Tharu",""
"Female","248"
"Male","229"
"","477"
"Undefined Others",""
"Female","32"
"Male","28"
"","60"
"Yadav",""
"Female","2532"
"Male","2514"
"","5046"
