"Number of households by type of outer wall","Number"
"BambooWall","3064"
"Cement Bonded Bricks/Stone Wall","663"
"Mud Bonded Bricks/Stone Wall","79"
"Not Stated about Wall","62"
"Other Type Wall","122"
"Unbaked Bricks","18"
"Wood/Planks","39"
"Total","4047"
