"Industries Types","Number"
"Accommodation and food","341"
"Administrative and support service activity","13"
"Agriculture, forestry and fishing","272"
"Art, entertainment and recreation","2"
"Construction","5"
"Education","573"
"Electricty gas and water","7"
"Financial intermediation and insurance","103"
"Health and social work","139"
"Information and communications","5"
"Manufacturing","369"
"Mining and quarrying","0"
"Other service activities","461"
"Professional,scientific and techniqual activity","22"
"Real state, renting and business activities","0"
"Transport and storage","31"
"Water supply, wet management","3"
"Wholesale and retail trade","2049"
"Total","4395"
