"Population by Five Years Age Group","Number"
"0-4",""
"Female","2640"
"Male","3061"
"10-14",""
"Female","3821"
"Male","4199"
"15-19",""
"Female","4190"
"Male","5134"
"20-24",""
"Female","5119"
"Male","5387"
"25-29",""
"Female","4858"
"Male","4430"
"30-34",""
"Female","4000"
"Male","4008"
"35-39",""
"Female","3242"
"Male","3423"
"40-44",""
"Female","2436"
"Male","2958"
"45-49",""
"Female","1821"
"Male","2022"
"50-54",""
"Female","1388"
"Male","1579"
"55-59",""
"Female","1038"
"Male","1130"
"5-9",""
"Female","3198"
"Male","3697"
"60-64",""
"Female","810"
"Male","823"
"65-69",""
"Female","699"
"Male","579"
"70-74",""
"Female","539"
"Male","455"
"75+",""
"Female","833"
"Male","625"
