"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","303"
"Male","264"
"","567"
"Chhetri",""
"Female","2578"
"Male","2276"
"","4854"
"Dalit Others",""
"Female","18"
"Male","19"
"","37"
"Damai/Dholi",""
"Female","246"
"Male","203"
"","449"
"Gharti/Bhujel",""
"Female","98"
"Male","97"
"","195"
"Kami",""
"Female","310"
"Male","273"
"","583"
"Limbu",""
"Female","9"
"Male","11"
"","20"
"Magar",""
"Female","208"
"Male","158"
"","366"
"Newar",""
"Female","438"
"Male","349"
"","787"
"Others",""
"Female","27"
"Male","19"
"","46"
"Rai",""
"Female","2997"
"Male","2581"
"","5578"
"Sarki",""
"Female","141"
"Male","97"
"","238"
"Sherpa",""
"Female","110"
"Male","71"
"","181"
"Tamang",""
"Female","793"
"Male","700"
"","1493"
