"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","2180"
"Christianity","0"
"Hindu","168"
"Islam","0"
"Jainism","1"
"Kirat","0"
"Prakriti","1"
"Sikhism","0"
"Undefined","0"
"Total","2350"
