"Population by Caste Ethinicity","Number"
"Bangali",""
"Female","32"
"Male","31"
"","63"
"Baraee",""
"Female","165"
"Male","158"
"","323"
"Bin",""
"Female","489"
"Male","535"
"","1024"
"Brahman - Hill",""
"Female","48"
"Male","52"
"","100"
"Brahman - Tarai",""
"Female","126"
"Male","135"
"","261"
"Chamar/ Harijan/ Ram",""
"Female","416"
"Male","512"
"","928"
"Dhanuk",""
"Female","447"
"Male","497"
"","944"
"Dhobi",""
"Female","293"
"Male","325"
"","618"
"Dom",""
"Female","24"
"Male","25"
"","49"
"Dusadh/ Pasawan/ Pasi",""
"Female","405"
"Male","436"
"","841"
"Gaderi/Bhedihar",""
"Female","201"
"Male","215"
"","416"
"Hajam/Thakur",""
"Female","204"
"Male","247"
"","451"
"Kalwar",""
"Female","531"
"Male","614"
"","1145"
"Kanu",""
"Female","610"
"Male","695"
"","1305"
"Kewat",""
"Female","142"
"Male","165"
"","307"
"Koiri/Kushwaha",""
"Female","584"
"Male","647"
"","1231"
"Kumal",""
"Female","219"
"Male","228"
"","447"
"Kumhar",""
"Female","679"
"Male","689"
"","1368"
"Kurmi",""
"Female","517"
"Male","591"
"","1108"
"Lohar",""
"Female","217"
"Male","240"
"","457"
"Mallaha",""
"Female","227"
"Male","266"
"","493"
"Marwadi",""
"Female","46"
"Male","46"
"","92"
"Musalman",""
"Female","1559"
"Male","1677"
"","3236"
"Nuniya",""
"Female","568"
"Male","638"
"","1206"
"Others",""
"Female","43"
"Male","29"
"","72"
"Rai",""
"Female","78"
"Male","92"
"","170"
"Rajput",""
"Female","31"
"Male","35"
"","66"
"Sanyasi/Dasnami",""
"Female","17"
"Male","25"
"","42"
"Sonar",""
"Female","530"
"Male","610"
"","1140"
"Sunuwar",""
"Female","11"
"Male","12"
"","23"
"Teli",""
"Female","584"
"Male","709"
"","1293"
"Terai Others",""
"Female","177"
"Male","200"
"","377"
"Yadav",""
"Female","1018"
"Male","1171"
"","2189"
