"Population by Five Years Age Group","Number"
"0-4",""
"Female","1276"
"Male","1378"
"10-14",""
"Female","1783"
"Male","1952"
"15-19",""
"Female","1294"
"Male","1535"
"20-24",""
"Female","1207"
"Male","1220"
"25-29",""
"Female","1147"
"Male","1080"
"30-34",""
"Female","970"
"Male","818"
"35-39",""
"Female","1042"
"Male","866"
"40-44",""
"Female","791"
"Male","791"
"45-49",""
"Female","679"
"Male","697"
"50-54",""
"Female","474"
"Male","604"
"55-59",""
"Female","421"
"Male","468"
"5-9",""
"Female","1850"
"Male","1894"
"60-64",""
"Female","333"
"Male","449"
"65-69",""
"Female","241"
"Male","270"
"70-74",""
"Female","182"
"Male","227"
"75+",""
"Female","141"
"Male","171"
