"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","21"
"Cow Dung","3215"
"Electricity","2"
"Kerosene","53"
"LP Gas","92"
"Not stated","32"
"Others","11"
"Wood/Firewood","1569"
"Total","4995"
