"Number of households by type of outer wall","Number"
"BambooWall","2798"
"Cement Bonded Bricks/Stone Wall","1594"
"Mud Bonded Bricks/Stone Wall","396"
"Not stated","80"
"Others","2"
"Unbaked Bricks","29"
"Wood/Planks","96"
"Total","4995"
