"Population by Five Years Age Group","Number"
"0-4",""
"Female","263"
"Male","234"
"10-14",""
"Female","376"
"Male","375"
"15-19",""
"Female","364"
"Male","326"
"20-24",""
"Female","239"
"Male","216"
"25-29",""
"Female","192"
"Male","149"
"30-34",""
"Female","149"
"Male","145"
"35-39",""
"Female","149"
"Male","145"
"40-44",""
"Female","149"
"Male","117"
"45-49",""
"Female","144"
"Male","126"
"50-54",""
"Female","114"
"Male","127"
"55-59",""
"Female","108"
"Male","115"
"5-9",""
"Female","319"
"Male","302"
"60-64",""
"Female","91"
"Male","94"
"65-69",""
"Female","79"
"Male","72"
"70-74",""
"Female","64"
"Male","58"
"75+",""
"Female","76"
"Male","57"
