"Number of households by type of outer wall","Number"
"BambooWall","578"
"Cement Bonded Bricks/Stone Wall","8659"
"Mud Bonded Bricks/Stone Wall","18200"
"Not stated","228"
"Others","156"
"Unbaked Bricks","7385"
"Wood/Planks","213"
"Total","35419"
