"Population by Mother tongue","Number"
"Avadhi",""
"Female","19515"
"Male","20800"
"","40315"
"Bhojpuri",""
"Female","20"
"Male","11"
"","31"
"Doteli",""
"Female","15"
"Male","11"
"","26"
"Hindi",""
"Female","7"
"Male","5"
"","12"
"Magar",""
"Female","42"
"Male","37"
"","79"
"Maithili",""
"Female","179"
"Male","181"
"","360"
"Nepali",""
"Female","183"
"Male","204"
"","387"
"Newar",""
"Female","10"
"Male","7"
"","17"
"Others",""
"Female","20"
"Male","10"
"","30"
"Rai",""
"Female","30"
"Male","35"
"","65"
"Santhali",""
"Female","5"
"Male","6"
"","11"
"Tamang",""
"Female","13"
"Male","11"
"","24"
"Thakali",""
"Female","5"
"Male","6"
"","11"
"Urdu",""
"Female","6634"
"Male","6798"
"","13432"
